LOCATION,Country,Value
AUS,Australia,7.3
AUT,Austria,7
BEL,Belgium,6.9
CAN,Canada,7.3
CZE,Czech Republic,6.6
DNK,Denmark,7.5
FIN,Finland,7.5
FRA,France,6.4
DEU,Germany,7
GRC,Greece,5.2
HUN,Hungary,5.3
ISL,Iceland,7.5
IRL,Ireland,7
ITA,Italy,5.9
JPN,Japan,5.9
KOR,Korea,5.9
LUX,Luxembourg,6.9
MEX,Mexico,6.6
NLD,Netherlands,7.4
NZL,New Zealand,7.3
NOR,Norway,7.5
POL,Poland,6
PRT,Portugal,5.2
SVK,Slovak Republic,6.1
ESP,Spain,6.4
SWE,Sweden,7.3
CHE,Switzerland,7.5
TUR,Turkey,5.5
GBR,United Kingdom,6.7
USA,United States,6.9
BRA,Brazil,6.6
CHL,Chile,6.7
EST,Estonia,5.6
ISR,Israel,7.2
LVA,Latvia,5.9
RUS,Russia,6
SVN,Slovenia,5.8
ZAF,South Africa,4.8
OECD,OECD - Total,6.5
